Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Raef LaFrentz;2007-2008;REG;Trail Blazers;39;7.47;1.67;0.72;1.00;1.72;0.15;0.31;0.44;0.26;1.51;0.69;1.56;0.443;0.00;0.10;0.000;0.28;0.49;0.579
Shareef Abdur-Rahim;2007-2008;REG;Kings;6;8.43;1.67;1.00;0.67;1.67;0.67;0.17;0.00;0.17;1.50;0.50;2.33;0.214;0.00;0.00;0.000;0.67;0.67;1.000
Von Wafer;2007-2008;REG;Nuggets, Trail Blazers;28;5.49;1.64;0.04;0.64;0.68;0.25;0.07;0.11;0.46;0.25;0.61;2.18;0.279;0.14;0.93;0.154;0.29;0.43;0.667
James Augustine;2007-2008;REG;Magic;25;5.95;1.60;0.64;0.56;1.20;0.08;0.20;0.08;0.24;0.72;0.72;1.36;0.529;0.00;0.00;0.000;0.16;0.32;0.500
Taurean Green;2007-2008;REG;Trail Blazers, Nuggets;17;4.32;1.59;0.00;0.59;0.59;0.65;0.12;0.00;0.53;0.29;0.41;1.47;0.280;0.12;0.65;0.182;0.65;0.71;0.917
Darrick Martin;2007-2008;REG;Raptors;17;8.32;1.59;0.18;0.24;0.41;1.24;0.35;0.00;0.06;0.71;0.59;2.53;0.233;0.12;0.94;0.125;0.29;0.35;0.833
Kyrylo Fesenko;2007-2008;REG;Jazz;9;7.79;1.56;1.56;1.22;2.78;0.22;0.00;0.33;0.89;2.11;0.67;1.78;0.375;0.00;0.00;0.000;0.22;0.44;0.500
Jeremy Richardson;2007-2008;REG;Hawks, Grizzlies, Spurs;27;4.88;1.52;0.04;0.30;0.33;0.07;0.11;0.00;0.22;0.48;0.59;1.63;0.364;0.26;0.70;0.368;0.07;0.07;1.000
Josh McRoberts;2007-2008;REG;Trail Blazers;8;3.52;1.50;0.25;1.00;1.25;0.25;0.13;0.00;0.25;0.13;0.75;1.25;0.600;0.00;0.13;0.000;0.00;0.00;0.000
Andre Barrett;2007-2008;REG;Clippers;4;6.33;1.50;0.00;0.25;0.25;1.75;0.00;0.00;0.25;0.25;0.50;1.25;0.400;0.25;0.75;0.333;0.25;0.50;0.500
Justin Williams;2007-2008;REG;Kings, Rockets;23;5.34;1.48;0.87;1.26;2.13;0.00;0.22;0.22;0.17;0.74;0.57;1.26;0.448;0.00;0.00;0.000;0.35;1.13;0.308
Patrick O'Bryant;2007-2008;REG;Warriors;24;4.14;1.46;0.42;0.79;1.21;0.17;0.17;0.38;0.29;1.13;0.67;1.21;0.552;0.00;0.00;0.000;0.13;0.21;0.600
Morris Almond;2007-2008;REG;Jazz;9;4.36;1.44;0.00;0.22;0.22;0.33;0.11;0.00;0.22;0.56;0.44;1.67;0.267;0.11;0.44;0.250;0.44;0.67;0.667
Kosta Perovic;2007-2008;REG;Warriors;7;5.42;1.43;0.86;1.00;1.86;0.14;0.00;0.29;0.14;0.86;0.43;1.43;0.300;0.00;0.00;0.000;0.57;0.86;0.667
Kenny Thomas;2007-2008;REG;Kings;23;12.24;1.39;0.78;1.87;2.65;0.57;0.26;0.04;0.91;1.65;0.70;1.65;0.421;0.00;0.00;0.000;0.00;0.22;0.000
Dwayne Jones;2007-2008;REG;Cavaliers;56;8.43;1.39;1.23;1.27;2.50;0.18;0.18;0.45;0.30;1.57;0.45;0.84;0.532;0.00;0.02;0.000;0.50;1.04;0.483
Dominic McGuire;2007-2008;REG;Wizards;70;9.93;1.33;0.76;1.23;1.99;0.57;0.29;0.37;0.57;1.09;0.56;1.47;0.379;0.01;0.09;0.167;0.20;0.46;0.438
Darryl Watkins;2007-2008;REG;Kings;9;7.92;1.33;0.56;0.78;1.33;0.00;0.22;0.22;0.78;0.89;0.56;1.67;0.333;0.00;0.00;0.000;0.22;0.56;0.400
Billy Thomas;2007-2008;REG;Nets, Cavaliers;11;3.81;1.27;0.00;0.18;0.18;0.00;0.09;0.00;0.36;0.36;0.36;1.55;0.235;0.36;1.45;0.250;0.18;0.18;1.000
Chris Andersen;2007-2008;REG;Hornets;5;6.83;1.20;0.40;1.40;1.80;0.00;0.00;0.80;0.20;1.20;0.40;1.40;0.286;0.00;0.00;0.000;0.40;0.80;0.500
Juwan Howard;2007-2008;REG;Mavericks;50;7.05;1.14;0.42;1.20;1.62;0.34;0.10;0.04;0.34;1.24;0.46;1.28;0.359;0.00;0.00;0.000;0.22;0.28;0.786
Lou Amundson;2007-2008;REG;76ers;16;4.00;1.13;0.44;0.31;0.75;0.00;0.06;0.06;0.13;0.81;0.50;1.00;0.500;0.00;0.00;0.000;0.13;0.44;0.286
Demetris Nichols;2007-2008;REG;Cavaliers, Bulls;14;3.17;1.07;0.00;0.36;0.36;0.07;0.00;0.21;0.29;0.29;0.43;1.64;0.261;0.21;0.93;0.231;0.00;0.00;0.000
Keith Langford;2007-2008;REG;Spurs;2;4.80;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.50;2.00;0.250;0.00;0.00;0.000;0.00;0.00;0.000
Solomon Jones;2007-2008;REG;Hawks;35;4.15;1.00;0.54;0.66;1.20;0.00;0.09;0.14;0.31;0.80;0.34;0.86;0.400;0.00;0.06;0.000;0.31;0.57;0.550
Eric Snow;2007-2008;REG;Cavaliers;22;13.87;1.00;0.18;0.73;0.91;1.91;0.45;0.18;0.45;1.36;0.27;1.73;0.158;0.00;0.09;0.000;0.45;1.00;0.455
Lance Allred;2007-2008;REG;Cavaliers;3;3.36;1.00;0.00;0.33;0.33;0.00;0.00;0.00;0.00;0.33;0.33;1.33;0.250;0.00;0.00;0.000;0.33;0.67;0.500
Mario West;2007-2008;REG;Hawks;63;4.27;0.94;0.41;0.35;0.76;0.21;0.19;0.06;0.14;0.97;0.33;0.78;0.429;0.00;0.06;0.000;0.27;0.41;0.654
Marcus Williams;2007-2008;REG;Spurs, Clippers;11;3.28;0.91;0.36;0.73;1.09;0.27;0.09;0.09;0.00;0.27;0.45;1.82;0.250;0.00;0.00;0.000;0.00;0.00;0.000
Shavlik Randolph;2007-2008;REG;76ers;9;3.05;0.89;1.00;0.22;1.22;0.33;0.11;0.33;0.22;0.56;0.44;1.56;0.286;0.00;0.00;0.000;0.00;0.00;0.000
Orien Greene;2007-2008;REG;Kings;7;8.67;0.86;0.00;0.86;0.86;0.43;0.43;0.14;1.00;1.29;0.43;1.57;0.273;0.00;0.14;0.000;0.00;0.00;0.000
Loren Woods;2007-2008;REG;Rockets;7;2.42;0.86;0.00;0.14;0.14;0.29;0.00;0.00;0.00;0.29;0.43;0.71;0.600;0.00;0.00;0.000;0.00;0.00;0.000
Guillermo Diaz;2007-2008;REG;Clippers;6;3.00;0.83;0.33;0.00;0.33;0.17;0.00;0.00;0.00;0.00;0.17;0.67;0.250;0.00;0.17;0.000;0.50;0.83;0.600
Lorenzen Wright;2007-2008;REG;Hawks, Kings;18;8.92;0.83;0.44;1.67;2.11;0.22;0.17;0.17;0.22;1.72;0.33;1.17;0.286;0.00;0.00;0.000;0.17;0.33;0.500
Ronald Dupree;2007-2008;REG;Pistons, SuperSonics;5;4.16;0.80;0.20;1.40;1.60;0.20;0.20;0.00;0.00;0.00;0.20;0.60;0.333;0.00;0.00;0.000;0.40;0.40;1.000
Calvin Booth;2007-2008;REG;76ers;31;6.58;0.77;0.19;1.03;1.23;0.26;0.19;0.58;0.13;1.13;0.29;0.87;0.333;0.00;0.00;0.000;0.19;0.32;0.600
Cedric Simmons;2007-2008;REG;Cavaliers, Bulls;14;6.25;0.57;0.43;0.86;1.29;0.00;0.14;0.36;0.43;0.57;0.29;1.00;0.286;0.00;0.00;0.000;0.00;0.71;0.000
Jelani McCoy;2007-2008;REG;Nuggets;6;5.55;0.50;0.17;1.00;1.17;0.00;0.00;0.83;0.67;1.17;0.17;0.17;1.000;0.00;0.00;0.000;0.17;0.33;0.500
